Medicine Name,Category,Attribute,Details
Crocin,Medicine Info,Brand Name,Crocin MAX
Crocin,Medicine Info,Generic Name,ACETAMINOPHEN
Crocin,Medicine Info,Route,ORAL
Crocin,Medicine Info,Product Type,HUMAN OTC DRUG
Crocin,Medicine Info,Active Ingredient,Drug Facts Active ingredient (in each caplet) Acetaminophen 650 mg
Crocin,Medicine Info,Purpose,Pain reliever / Fever Reducer
Crocin,Medicine Info,Indications,Uses Temporarily relieves minor aches and pains due to Minor pain of arthitis Muscular aches Backache Premenstrual and menstrual cramps The common cold Headache Toothache Temporarily reduces fever
Crocin,Caution Info,Warnings,"Liver warning This product contains acetaminophen. Severe liver damage may occur if you take More than 6 caplets in 24 hours, wich is the maximum daily amount With other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product. Allergy alert Acetaminophen may cause severe skin reactions. Symptoms may include Skin redding Blisters Rash If skin reaction occurs, stop use and seek medical help right away. Do not use With any other containing acetaminophen (prescription or nonprescription). If you are not ure whether a drug contains acetaminophen, ask a doctor or pharmacist. If you are allergic to acetaminophen or ay of the inactive ingredients in this product Ask a doctor before use if you have liver disease Ask a doctor or pharmacist before use if you are taking the blood thinning drug warfarin Stop use and ask a doctor if Pain gets worse or lasts more than 10 days Fever gets worse or lasts more than 3 days New symptoms occur Redness or swelling is present These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out reach of children. Keep out reach of children. Overdose warning In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
Crocin,Caution Info,Do Not Use,"Do not use With any other containing acetaminophen (prescription or nonprescription). If you are not ure whether a drug contains acetaminophen, ask a doctor or pharmacist. If you are allergic to acetaminophen or ay of the inactive ingredients in this product"
Crocin,Caution Info,Ask Doctor,Ask a doctor before use if you have liver disease
Crocin,Caution Info,Pregnancy,"If pregnant or breast-feeding, ask a health professional before use."
Crocin,Caution Info,Stop Use,Stop use and ask a doctor if Pain gets worse or lasts more than 10 days Fever gets worse or lasts more than 3 days New symptoms occur Redness or swelling is present These could be signs of a serious condition.
Zyrtec,Medicine Info,Brand Name,Childrens Zyrtec
Zyrtec,Medicine Info,Generic Name,CETIRIZINE HYDROCHLORIDE
Zyrtec,Medicine Info,Route,ORAL
Zyrtec,Medicine Info,Product Type,HUMAN OTC DRUG
Zyrtec,Medicine Info,Active Ingredient,Active ingredient (in each chewable tablet) Cetirizine HCl 2.5 mg
Zyrtec,Medicine Info,Purpose,Antihistamine
Zyrtec,Medicine Info,Indications,"Uses temporarily relieves these symptoms due to hay fever or other upper respiratory allergies runny nose sneezing itchy, watery eyes itching of the nose or throat"
Zyrtec,Caution Info,Warnings,"Do not use if you have ever had an allergic reaction to this product or any of its ingredients or to an antihistamine containing hydroxyzine. Ask a doctor before use if you have liver or kidney disease. Your doctor should determine if you need a different dose. Ask a doctor or pharmacist before use if you are taking tranquilizers or sedatives. When using this product drowsiness may occur avoid alcoholic drinks alcohol, sedatives, and tranquilizers may increase drowsiness be careful when driving a motor vehicle or operating machinery Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away. If pregnant or breast-feeding if breast-feeding not recommended if pregnant ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)"
Zyrtec,Caution Info,Do Not Use,Do not use if you have ever had an allergic reaction to this product or any of its ingredients or to an antihistamine containing hydroxyzine.
Zyrtec,Caution Info,Ask Doctor,Ask a doctor before use if you have liver or kidney disease. Your doctor should determine if you need a different dose.
Zyrtec,Caution Info,Pregnancy,If pregnant or breast-feeding if breast-feeding not recommended if pregnant ask a health professional before use.
Zyrtec,Caution Info,Stop Use,Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away.
Augmentin,Medicine Info,Brand Name,Augmentin
Augmentin,Medicine Info,Generic Name,AMOXICILLIN AND CLAVULANATE POTASSIUM
Augmentin,Medicine Info,Route,ORAL
Augmentin,Medicine Info,Product Type,HUMAN PRESCRIPTION DRUG
Augmentin,Medicine Info,Active Ingredient,N/A
Augmentin,Medicine Info,Purpose,N/A
Augmentin,Medicine Info,Indications,"1  AUGMENTIN is indicated for the treatment of infections in adults and pediatric patients, due to susceptible isolates of the designated bacteria in the conditions listed below Lower Respiratory Tract Infections - caused by beta‑lactamase–producing isolates of Haemophilus influenzae and Moraxella catarrhalis . Acute Bacterial Otitis Media - caused by beta‑lactamase–producing isolates of H. influenzae and M. catarrhalis . Sinusitis - caused by beta‑lactamase–producing isolates of H. influenzae and M. catarrhalis . Skin and Skin Structure Infections - caused by beta‑lactamase–producing isolates of Staphylococcus aureus , Escherichia coli , and Klebsiella species. Urinary Tract Infections - caused by beta‑lactamase–producing isolates of E. coli , Klebsiella species, and Enterobacter species. AUGMENTIN is a combination of amoxicillin, a penicillin-class antibacterial and clavulanate potassium, a beta‑lactamase inhibitor indicated for treatment of the following infections in adults and pediatric patients ( 1 ) Lower respiratory tract infections Acute bacterial otitis media Sinusitis Skin and skin structure infections Urinary tract infections Limitations of Use When susceptibility test results show susceptibility to amoxicillin, indicating no beta-lactamase production, AUGMENTIN should not be used. ( 1 ) Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of AUGMENTIN and other antibacterial drugs, AUGMENTIN should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. ( 1 ) Limitations of Use When susceptibility test results show susceptibility to amoxicillin, indicating no beta-lactamase production, AUGMENTIN should not be used. Usage To reduce the development of drug‑resistant bacteria and maintain the effectiveness of AUGMENTIN and other antibacterial drugs, AUGMENTIN should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
Augmentin,Caution Info,Warnings,N/A
Augmentin,Caution Info,Do Not Use,N/A
Augmentin,Caution Info,Ask Doctor,N/A
Augmentin,Caution Info,Pregnancy,N/A
Augmentin,Caution Info,Stop Use,N/A
Montelukast,Medicine Info,Brand Name,montelukast sodium
Montelukast,Medicine Info,Generic Name,MONTELUKAST SODIUM
Montelukast,Medicine Info,Route,ORAL
Montelukast,Medicine Info,Product Type,HUMAN PRESCRIPTION DRUG
Montelukast,Medicine Info,Active Ingredient,N/A
Montelukast,Medicine Info,Purpose,N/A
Montelukast,Medicine Info,Indications,"1  Montelukast sodium chewable tablets are a leukotriene receptor antagonist indicated for • Prophylaxis and chronic treatment of asthma in patients 2 years of age and older ( 1.1 ). • Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older ( 1.2 ). • Relief of symptoms of allergic rhinitis (AR) seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 2 years of age and older. Reserve use for patients who have an inadequate response or intolerance to alternative therapies ( 1.3 ). 1.1 Asthma Montelukast sodium chewable tablets are indicated for the prophylaxis and chronic treatment of asthma in adults and pediatric patients 2 years of age and older. 1.2 Exercise-Induced Bronchoconstriction (EIB) Montelukast sodium chewable tablets are indicated for prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older. 1.3 Allergic Rhinitis sodium chewable tablets are indicated for the relief of symptoms of seasonal allergic rhinitis in patients 2 years of age and older and perennial allergic rhinitis in patients 2 of age and older. Because the benefits of montelukast sodium chewable tablets may not outweigh the risk of neuropsychiatric symptoms in patients with allergic rhinitis , use for patients who have an inadequate response or intolerance to alternative therapies. Montelukast sodium chewable tablets are indicated for the relief of symptoms of seasonal allergic rhinitis in patients 2 years of age and older and perennial allergic rhinitis in patients 2 years of age and older. Because the benefits of montelukast sodium chewable tablets may not outweigh the risk of neuropsychiatric symptoms in patients with allergic rhinitis [see warnings and precautions ( 5.1 )] , reserve use for patients who have an inadequate response or intolerance to alternative therapies."
Montelukast,Caution Info,Warnings,N/A
Montelukast,Caution Info,Do Not Use,N/A
Montelukast,Caution Info,Ask Doctor,N/A
Montelukast,Caution Info,Pregnancy,N/A
Montelukast,Caution Info,Stop Use,N/A
Allegra,Medicine Info,Brand Name,Childrens Allegra Allergy
Allegra,Medicine Info,Generic Name,FEXOFENADINE HYDROCHLORIDE
Allegra,Medicine Info,Route,ORAL
Allegra,Medicine Info,Product Type,HUMAN OTC DRUG
Allegra,Medicine Info,Active Ingredient,Active ingredient (in each tablet) Fexofenadine HCI 30 mg
Allegra,Medicine Info,Purpose,Antihistamine
Allegra,Medicine Info,Indications,"Uses temporarily relieves these symptoms due to hay fever or other upper respiratory allergies runny nose sneezing itchy, water eyes itching of the nose or throat"
Allegra,Caution Info,Warnings,"Do not use if you have ever had an allergic reaction to this product or any of its ingredients. Ask a doctor before use if you have kidney disease. Your doctor should determine if you need a different dose. When using this product do not take more than directed do not take at the same time as aluminum or magnesium antacids do not take with fruit juices (see Directions ) Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away."
Allegra,Caution Info,Do Not Use,Do not use if you have ever had an allergic reaction to this product or any of its ingredients.
Allegra,Caution Info,Ask Doctor,Ask a doctor before use if you have kidney disease. Your doctor should determine if you need a different dose. When using this product do not take more than directed do not take at the same time as aluminum or magnesium antacids do not take with fruit juices (see Directions )
Allegra,Caution Info,Pregnancy,"If pregnant or breast-feeding, ask a health professional before use."
Allegra,Caution Info,Stop Use,Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away.
